link_id,run_id,source_url,target_url,normalized_target_url,is_internal,anchor_text,nofollow_flag,source_context,dom_region
1,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,/smbs,https://www.void-agency.com/smbs,1,VOID( CONSULTING ),0,render_dom,nav
2,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,/smbs#process,https://www.void-agency.com/smbs,1,Process,0,render_dom,nav
3,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,/smbs#offers,https://www.void-agency.com/smbs,1,Pricing,0,render_dom,nav
4,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,/smbs#about,https://www.void-agency.com/smbs,1,About,0,render_dom,nav
5,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,/smbs#contact,https://www.void-agency.com/smbs,1,Contact,0,render_dom,nav
6,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,/insights,https://www.void-agency.com/insights,1,Insights,0,render_dom,nav
7,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,/plumbers,https://www.void-agency.com/plumbers,1,Web design for plumbers,0,render_dom,main
8,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,/dentists,https://www.void-agency.com/dentists,1,Dental website design,0,render_dom,main
9,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,/hvac,https://www.void-agency.com/hvac,1,HVAC websites,0,render_dom,main
10,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,/orthodontists,https://www.void-agency.com/orthodontists,1,Orthodontist website design,0,render_dom,main
11,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,/lawyers,https://www.void-agency.com/lawyers,1,Lawyer website design,0,render_dom,main
12,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,/foundation-repair,https://www.void-agency.com/foundation-repair,1,Foundation repair websites,0,render_dom,main
13,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,/med-spas,https://www.void-agency.com/med-spas,1,Med spa website design,0,render_dom,main
14,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,/auto-body,https://www.void-agency.com/auto-body,1,Auto body shop websites,0,render_dom,main
15,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,/vets,https://www.void-agency.com/vets,1,Veterinary website design,0,render_dom,main
16,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,https://www.linkedin.com/in/sulayman-bowles/,https://www.linkedin.com/in/sulayman-bowles,0,LinkedIn,0,render_dom,main
17,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,https://www.linkedin.com/in/aurelia-tan-ut/,https://www.linkedin.com/in/aurelia-tan-ut,0,LinkedIn,0,render_dom,main
18,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,https://www.linkedin.com/in/aayush-baniya-a30551223/,https://www.linkedin.com/in/aayush-baniya-a30551223,0,LinkedIn,0,render_dom,main
19,8946f235-727a-4b28-b3d1-cb0b887325a9,https://void-agency.com/,/insights?topic=SMB,https://www.void-agency.com/insights?topic=SMB,1,View All,0,render_dom,main
