citation_event_id,run_id,url,eligibility_score,evidence_json
1,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/""}"
2,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/auto-body,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/auto-body""}"
3,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/dentists,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/dentists""}"
6,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/foundation-repair,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/foundation-repair""}"
7,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/hvac,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/hvac""}"
8,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights""}"
11,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/builder-incentives,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/builder-incentives""}"
12,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/case-study,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/case-study""}"
13,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/data-maturity,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/data-maturity""}"
16,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/map-pack-playbook,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/map-pack-playbook""}"
17,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/recruiting,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/recruiting""}"
18,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/site-speed,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/site-speed""}"
21,3c174164-cb26-4fb2-adad-387bab3dda2b,https://void-agency.com/insights/smb-guide,83,"{""chatgpt_referrals"": 0, ""eligibility_reasons"": [""max_snippet_non_positive"", ""weak_internal_prominence""], ""governance_blocked_bots"": [], ""gsc_clicks"": 0, ""gsc_impressions"": 0, ""has_chatgpt_utm_hint"": false, ""url"": ""https://void-agency.com/insights/smb-guide""}"
